merchant_id,merchant_name,merchant_category,merchant_country,merchant_risk_rating,fraud_transaction_count,total_transaction_count,merchant_status,created_at
MERCH_00046,"Moran, White and Garcia",Retail,Bulgaria,Medium,1,2092,Active,2024-12-10 12:32:56.084142
MERCH_00047,"Henderson, Webb and Baker",Retail,Cayman Islands,Low,1,1591,Active,2025-05-16 12:32:56.084285
MERCH_00048,Stewart and Sons,Gaming,Senegal,Medium,2,3312,Active,2025-02-18 12:32:56.084343
MERCH_00049,"Perez, Aguirre and Miranda",Electronics,Finland,Low,1,1903,Active,2023-05-23 12:32:56.084484
MERCH_00050,Boyd-Mckinney,Shell Utility,Honduras,Medium,0,2278,Active,2025-01-31 12:32:56.084585
MERCH_00051,Howard-Davis,Retail,Holy See (Vatican City State),Medium,1,2681,Active,2024-08-11 12:32:56.084685
MERCH_00052,Chavez-Arellano,Retail,Chile,Medium,0,2719,Active,2023-03-10 12:32:56.084781
MERCH_00053,Roberts Inc,Gaming,Canada,Low,0,1362,Active,2024-04-27 12:32:56.084835
MERCH_00054,Baldwin Ltd,Shell Utility,Timor-Leste,Medium,1,3223,Active,2024-04-16 12:32:56.084891
MERCH_00055,"Butler, Carr and Caldwell",Gaming,Guam,Low,2,4853,Active,2023-08-14 12:32:56.085030
MERCH_00056,"Wilson, Steele and Thomas",Crypto Exchange,Burkina Faso,Medium,0,4642,Active,2025-04-28 12:32:56.085169
MERCH_00057,"Faulkner, Willis and Harris",Retail,Hungary,Low,2,1411,Active,2025-04-15 12:32:56.085311
MERCH_00058,Mann-Bell,Electronics,Qatar,Medium,1,1922,Active,2024-12-04 12:32:56.085407
MERCH_00059,Yates-Ferguson,Crypto Exchange,Solomon Islands,Low,2,4605,Active,2024-05-23 12:32:56.085504
MERCH_00060,"Dominguez, Leach and Branch",Electronics,Vanuatu,Low,1,2256,Active,2023-10-21 12:32:56.085642
MERCH_00061,Osborn-King,Shell Utility,Kiribati,Medium,1,1468,Active,2024-08-15 12:32:56.085742
MERCH_00062,Fisher Group,Retail,Syrian Arab Republic,Low,1,3089,Active,2023-05-13 12:32:56.085798
MERCH_00063,"Smith, Gibbs and Clark",Crypto Exchange,Barbados,Low,2,2304,Active,2023-03-25 12:32:56.085938
MERCH_00064,Ward-Thomas,Shell Utility,Ecuador,Low,2,2421,Active,2025-06-30 12:32:56.086034
MERCH_00065,"Perkins, Brewer and Santos",Electronics,Djibouti,Low,1,3156,Active,2023-07-23 12:32:56.086172
MERCH_00066,Holmes LLC,Retail,Togo,Low,2,4621,Active,2025-05-17 12:32:56.086228
MERCH_00067,Ortiz-Taylor,Electronics,Lebanon,Medium,0,4419,Active,2024-02-18 12:32:56.086324
MERCH_00068,Lopez-Valenzuela,Electronics,Holy See (Vatican City State),Low,1,2184,Active,2023-07-18 12:32:56.086424
MERCH_00069,Lin-Brown,Retail,Mozambique,High,49,3905,Under Review,2025-08-05 12:32:56.086520
MERCH_00070,"Best, Weaver and Young",Shell Utility,Saint Helena,Medium,0,716,Active,2024-07-28 12:32:56.086660
MERCH_00071,"Allen, Vance and Larson",Shell Utility,Cameroon,Medium,0,4152,Active,2024-10-06 12:32:56.086804
MERCH_00072,Gregory-Cruz,Gaming,Morocco,Low,2,4522,Active,2023-12-15 12:32:56.086901
MERCH_00073,Chen PLC,Retail,Guernsey,Medium,1,573,Active,2024-06-10 12:32:56.086956
MERCH_00074,"Gross, Wagner and Lane",Crypto Exchange,Austria,Medium,0,3367,Active,2024-01-01 12:32:56.087096
MERCH_00075,Brown-Simpson,Retail,Greenland,High,36,3108,Under Review,2025-08-16 12:32:56.087192
MERCH_00076,"Morales, Conrad and Thomas",Gaming,Antarctica (the territory South of 60 deg S),Low,1,861,Active,2025-08-17 12:32:56.087333
MERCH_00077,Long Group,Retail,Holy See (Vatican City State),Low,1,1852,Active,2024-01-25 12:32:56.087393
MERCH_00078,"Watson, Adams and Rhodes",Shell Utility,Kyrgyz Republic,Medium,2,2358,Active,2023-11-03 12:32:56.087532
MERCH_00079,Gray Ltd,Gaming,Togo,Low,2,3703,Active,2025-05-29 12:32:56.087587
MERCH_00080,Maldonado and Sons,Shell Utility,Paraguay,Medium,0,3546,Active,2025-07-12 12:32:56.087643
MERCH_00081,Kelley LLC,Shell Utility,Ghana,Medium,1,4208,Active,2024-03-19 12:32:56.087704
MERCH_00082,"Mcdaniel, Potter and Brown",Gaming,Guinea-Bissau,Low,0,1052,Active,2024-10-30 12:32:56.087847
MERCH_00083,Moreno-Norris,Crypto Exchange,Saint Barthelemy,Low,1,3713,Active,2025-08-04 12:32:56.087944
MERCH_00084,Gonzalez Ltd,Gaming,Kyrgyz Republic,Medium,0,2520,Active,2023-08-27 12:32:56.088002
MERCH_00085,Vargas PLC,Electronics,Madagascar,Low,2,3399,Active,2024-01-04 12:32:56.088061
MERCH_00086,Ramirez-Herrera,Shell Utility,Rwanda,Medium,2,2738,Active,2024-05-08 12:32:56.088163
MERCH_00087,"Gomez, Rowland and Eaton",Electronics,Hong Kong,Medium,0,4512,Active,2023-08-30 12:32:56.088307
MERCH_00088,Becker-Williams,Shell Utility,American Samoa,Low,2,2381,Active,2025-07-20 12:32:56.088406
MERCH_00089,"Allen, Washington and Horton",Electronics,Slovakia (Slovak Republic),Medium,2,4343,Active,2023-10-13 12:32:56.088546
MERCH_00090,"Rodriguez, Fields and Rangel",Shell Utility,Namibia,Low,1,4133,Active,2024-05-31 12:32:56.088693
MERCH_00091,"Walker, Gray and Perkins",Crypto Exchange,Kazakhstan,High,27,830,Under Review,2024-08-06 12:32:56.088831
MERCH_00092,Dorsey LLC,Shell Utility,Falkland Islands (Malvinas),Medium,2,4886,Active,2025-05-05 12:32:56.088888
MERCH_00093,"Williams, Mccoy and Russell",Crypto Exchange,Gabon,Low,2,956,Active,2024-12-19 12:32:56.089028
MERCH_00094,Bailey-Kelly,Electronics,Myanmar,Low,0,4847,Active,2024-08-19 12:32:56.089126
MERCH_00095,Hicks LLC,Electronics,Malta,Medium,1,623,Active,2023-03-27 12:32:56.089183
MERCH_00096,"Stephenson, Matthews and Bradford",Gaming,Indonesia,Medium,1,4333,Active,2024-07-12 12:32:56.089321
MERCH_00097,Scott PLC,Electronics,Samoa,High,56,1170,Under Review,2023-05-25 12:32:56.089377
MERCH_00098,"Medina, Williams and Chapman",Retail,Antigua and Barbuda,Low,2,2883,Active,2025-04-08 12:32:56.089516
MERCH_00099,"Moran, Edwards and Chapman",Gaming,Israel,Medium,1,2840,Active,2025-05-04 12:32:56.089654
MERCH_00100,Carter LLC,Gaming,Lao People's Democratic Republic,Medium,1,2903,Active,2025-06-17 12:32:56.089713
